,summary,review_id,bank_id,bank_name,user_id,rating,review,date_posted
0,Bad Credit Union With Awful Customer Service!!,37557,20042,Georgia's Own Credit Union,42742,1,Opened an account with Georgia's Own Credit Union for me and my wife as they are local. Never received our debit cards in the mail. After 7 different conversations and 4 months later we finally received our debit cards in the mail. Once I received the debit cards I switched my direct deposit over. Direct deposit it kicked back to my employer because Georgia's Own closed the account right after I finally received the debit cards due to inactivity. Very very poor customer service. My experience was that they do not take care of their members and I have received better service at bigger banks.,2019-06-03
1,Bunch Of Immoral Thieves,35365,20042,Georgia's Own Credit Union,53766,1,"Stay away from these thieves at all costs. They literally put an 11 day hold on a payroll check. Not a personal check. <br/>They have zero warning that my tent money would be unavailable for this length of time and cost me tongs in late fees. Terror warming on deposit days it might be up to 2 days... Not 11.<br/>Now they are claiming that it takes them that looking to verify that the funds are actually available, on a payroll check from a fortune 300 company written on a major bank check (not a hand written personal check).<br/>These are either thieves, or they are so incompetent that they cannot do simple ach verification with major banks.<br/>Do yourself a favor and run as fast and far from these low life thieves as you can.<br/> They will lie to you and do everything in their power to screw up everything they touch.<br/>Avoid at all costs!",2018-10-20
2,Georgia's Own Credit Union,30419,20042,Georgia's Own Credit Union,45277,2,I joined Georgia's Own Credit Union about 20 years ago hoping for good interest rates but their rates are about the same as most lending institutions. I also liked the fact that you didn't have to carry a minimum in your checking but they changed that a couple months ago and I never saw a notice about it and only realized it when I logged into my account.,2017-11-19
3,Many years of excellent service!,27846,20042,Georgia's Own Credit Union,39160,5,"I begin my relationship with Georgia's Own Credit Union back in 1998 when it used to be called Georgia Telco. At that time I was an employee of At&t in Augusta, GA. When I first signed up there was not a branch in the area so it was all done via mail or over the phone. However, even then the customer service was excellent. One example was when I was trying to open a savings account for my oldest daughter. I had to submit the paperwork to prove I was her mother and that she was in fact who she was, this was before verifying identity via the internet. Everyone was so helpful setting that up. Since then I have continued to have my savings account as well as my daughters and there is now a local branch in my area. I have always received great customer service when visiting the bank to add money to the savings accounts or when I was checking the balances. I will continue to have my savings accounts there for years to come.",2017-05-31
4,A great local credit union,27276,20042,Georgia's Own Credit Union,38108,4,"Georgia's Own Credit Union is a local credit union in Georgia. They offer many different services, as you would expect from a credit union. I initially was turned on to them by an auto salesman when I was purchasing my first vehicle. He let me know that they historically had the lowest rates of the banks and credit unions they work with. I ultimately ended up using them for my auto loan, and I used them for a bank as I was in college. Their rates were always great and the customer service was always satisfying. I will say that they were behind on technology, however. Overall, a great credit union to work with.",2017-04-01
5,This Credit Union Stinks,27155,20042,Georgia's Own Credit Union,37827,1,"Terrible credit union! I made a deposit in the night deposit box to my business account. Did not credit it to my account over 24 hours later. Called to ask them why, and of course no one answered the phone, and no one called me back. <br/><br/>STAY AWAY FROM HERE!!!!!!",2017-03-14
6,Small Town Feel Big Town Quality,20614,20042,Georgia's Own Credit Union,22520,5,"I have not done much business directly with my bank, Georgia's Own Credit Union, but the amount that I have done has been very positive. I am mainly reviewing the experience at one branch, but also will go into some minor details about the web and Android mobile app experience. The branch is really well kept and has a great amount of little extras, such as access to a restroom, which most banks I have been in do not have, as well as access to a single serving pod style coffee machine, a little above what most banks have. They recently moved and I have not had a reason to use their teller machine at the new location, so I am not going to review it, as the experience might have improved. The branch is located just out of way enough in town that you need not worry about fighting traffic to get in and out of the branch, but close enough to town that you are not going to be inconvenienced greatly by having to go to the branch location. <br/> <br/> <br/> <br/>The web site is decently modern, built more for function rather than flash, but that is a good thing. The functionality of the user experience, such as transferring funds from one account to another, actually feels more at ease sometimes than managing an email inbox from a laptop computer. The mobile version of the site is pretty well done too, but feels a little feature stripped compared to the full version, but that is normal. The Android mobile app functions beautifully and is a great counterpart to the full site and makes transferring funds a snap from one account to another. <br/> <br/> <br/> <br/>One of the best things about Georgia's Own is that they charge no fees for their basic checking account. In this world of high fees being charged by banks, this is a nice change of pace and refreshing breath of air to be able to have a checking account with a widely accepted Visa debit card.",2015-03-23
7,Terrible Service!,19355,20042,Georgia's Own Credit Union,20924,1,"I started using the credit union because people told me that they are so much better than a bank. People told me that they will help you because it's based on members. THIS IS SO FALSE! In the past everything that I've ever asked of Georgias Own I have been turned down. I have never heard the word ""yes"" from them for anything. This place is so much worse then a regular bank. I would NEVER recommend using them. I regret leaving Bank of America for the credit union. The worst!",2014-12-16
8,Great first experience with a credit union,18779,20042,Georgia's Own Credit Union,20241,5,"GA's Own Credit Union was my first credit union to ever be a member of. The first thing that drew me to this bank is my Father has banked with them for years and has loved it. Secondly, when I tried to get an auto loan through my old (larger) bank, I was turned down do to not having much credit. Because of my family's history with GA's Own, they approved my loan same day. Their checking accounts are also free and easy to use in person, online, and mobile. Since becoming a member, every company I have worked for has offered direct deposit, so naturally I take advantage of it. There has never been any issues and my paycheck has always arrived within 24 hours unlike some banks where it seems to take up to 48 hours some times. They have a friendly staff, who also went out of their way to explain to me how their merchant services work when I was interested in setting up e-commerce on my web site.",2014-11-04
9,Georgia's Own,18391,20042,Georgia's Own Credit Union,19754,4,When I went to apply for a bank account I was met with a warm smile and understanding attitude. I opened an account very easily with the bank manager. I was informed of all the fees upfront. I have since had an amazing experience with the bank. My only problem is that the bank is that they are not open at great hours and their location is a bit out of the way. The other benefits greatly out weigh the negatives.,2014-10-14
